Type,Region,Residence _School Type,Service_Type,Year,Coverage,School_age _population,Service_level
sdg,Australia and New Zealand,rural,Sanitation,2006,100,711686,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2006,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2006,100,4040339,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2006,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2006,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2006,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2006,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2007,100,4770287,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2007,100,2223197,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2007,100,2173272,Basic service
sdg,Australia and New Zealand,total,Hygiene,2007,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2007,100,373818,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2007,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2007,100,710332,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2007,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2007,100,4059955,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2007,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2007,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2007,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2007,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2007,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2007,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2007,100,4770287,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2007,100,2223197,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2007,100,2173272,Basic service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2007,100,373818,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2007,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2007,100,710332,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2007,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2007,100,4059955,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2007,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2007,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2007,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2007,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2008,100,4780785,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2008,100,2225908,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2008,100,2175266,Basic service
